"Beta","Delta","N","C_BS","E_theory","FinalZip","SHA256"
"0.09","1100","1100","0.3754219054018722","0.00090826521344232502",".\out\HR_Final_pkg_FINAL_D1100_beta0.09.zip","3CD10F50D09D87B11A6CB6DC401108C9B8B8465D953F6C4CB7CFF2D641265E34"
"0.09","1050","1050","0.39263840495606916","0.00095147478591817299",".\out\HR_Final_pkg_FINAL_D1050_beta0.09.zip","4C0F9A9745E7426DBD6C4EE2EDF5AE57090240B4F7C1B7EF62E58B54E822C2AF"
"0.09","1000","1000","0.41204650794107078","0.000999000999000999",".\out\HR_Final_pkg_FINAL_D1000_beta0.09.zip","EC9D5808270A070ED03927F2AD3A97AC770C64C16DC2DC8F2C6CD449461E6ABF"
"0.09","950","950","0.43293541081535081","0.0010515247108306999",".\out\HR_Final_pkg_FINAL_D950_beta0.09.zip","14714E9960C0ACCA08F454748C1B35E5B48C9E329E6BDECC19C525DDD964EE93"
"0.09","900","900","0.45680774472328189","0.00110987791342952",".\out\HR_Final_pkg_FINAL_D900_beta0.09.zip","3CFC20B23DBDD2B748C6AC2A565B3AEA492DCC68561E7EAC7A6E4099A4985D72"
"0.09","850","850","0.48278497605685533","0.0011750881316098701",".\out\HR_Final_pkg_FINAL_D850_beta0.09.zip","DBE236E45797939E4D0CEEF7A5D0A3E8EA13428E5A271308BBCB44C19AC92E79"
"0.09","800","800","0.51274391608767145","0.00124843945068664",".\out\HR_Final_pkg_FINAL_D800_beta0.09.zip","90166775BFD78141A90CABAEA602B772622ED5898327181B7FA5E91831E1F9CF"
"0.09","750","750","0.54587800473213122","0.0013315579227696399",".\out\HR_Final_pkg_FINAL_D750_beta0.09.zip","1621C1BA51D82746F547B8FE57C1F4C31325601C518CF4A7B532F7BD6D38B491"
"0.09","700","700","0.58468296716477997","0.0014265335235377999",".\out\HR_Final_pkg_FINAL_D700_beta0.09.zip","5E89E368D8637BA798CC3CFD93A23C0154055ED89068A0053EF2D8F491E6C8E2"
"0.09","650","650","0.62831018326617627","0.00153609831029186",".\out\HR_Final_pkg_FINAL_D650_beta0.09.zip","800794A680B5E232960A189C49F72218B93A3835FD0DF7C6699E3148A3FE0EAA"
"0.09","600","600","0.68055229289120889","0.00166389351081531",".\out\HR_Final_pkg_FINAL_D600_beta0.09.zip","FB004FEF040073CA09E360A0C7D7A0512B424A30688E4261979BE7C21994FBFA"
